class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
p,4.32,o,,w,f,f,f,f,5.45,30.2,,g,w,,,t,f,,d,a
p,1.1,b,t,y,f,,c,g,3.66,2.67,,,n,,,t,f,,m,u
e,15.68,s,e,g,f,a,c,w,11.0,28.78,s,,w,,,f,f,,d,a
p,6.84,s,,o,t,d,,o,5.42,11.68,,,w,,,t,f,,d,a
e,4.18,x,k,n,f,p,,y,4.72,9.73,,,y,,,f,f,,d,a
p,3.97,x,t,o,f,a,c,n,4.61,6.68,,y,n,,,t,z,,d,a
p,4.51,b,h,n,f,,,k,10.19,5.91,,,w,,,t,,k,g,u
p,2.96,s,s,w,f,d,c,w,2.47,6.6,,,w,,,f,f,,g,a
p,3.9,f,d,b,f,x,c,w,5.39,3.81,b,i,n,,,f,f,,d,u
p,3.34,x,,w,f,x,c,p,8.59,4.46,,,n,,,f,f,,l,a
p,4.25,s,,u,f,a,,w,4.39,7.92,,,y,,,f,f,,d,u
e,1.55,f,w,n,f,,d,k,5.13,2.43,,,w,,,f,f,,d,s
p,9.41,x,y,n,f,a,c,y,10.34,9.17,,y,y,,,t,,,d,u
e,6.39,f,h,g,f,s,d,g,5.09,9.55,,s,g,,,f,f,,d,a
p,0.8,x,,o,f,d,,o,4.2,0.9,,,y,,,f,f,w,g,u
p,2.9,x,y,n,f,a,,w,6.01,3.68,,y,y,,,t,r,,h,u
p,7.01,f,d,n,f,a,c,n,5.56,6.81,,i,y,,,t,,,d,a
p,3.47,s,k,y,f,p,,n,2.38,4.45,,k,n,,,t,f,,d,u
p,8.04,s,,o,t,d,,o,4.57,12.49,,,w,,,t,f,,d,a
p,2.37,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,6.72,f,y,y,f,s,c,y,5.1,10.13,,y,y,,,f,f,,d,a
e,10.77,s,,w,t,d,c,p,5.91,24.2,,,w,,,f,f,,d,a
p,12.98,f,,g,f,e,,w,11.0,14.33,,,w,u,w,t,g,,d,u
p,10.77,f,h,r,f,,c,w,11.13,15.34,,,w,u,w,t,p,,d,u
p,7.78,p,g,n,f,e,,w,7.81,14.95,,y,w,u,w,t,p,,d,a
p,3.38,x,y,n,f,a,,w,5.35,3.41,,y,n,,,t,r,,g,u
p,3.19,b,y,n,f,e,c,n,3.12,3.28,,k,w,,,t,e,,m,u
e,4.1,x,,y,f,a,c,y,4.2,7.79,,,w,,,f,f,,d,u
e,11.51,x,y,n,f,,,w,7.45,25.32,b,,n,,w,t,e,,d,w
p,18.47,x,k,w,t,d,d,n,6.92,31.34,,,w,,,f,f,,d,a
e,2.6,x,,b,f,,d,u,5.86,4.75,,,w,,,f,f,,d,a
e,6.42,f,d,o,f,d,d,o,5.78,12.85,,,w,,,f,f,,m,w
e,10.59,f,e,b,f,,c,b,5.12,19.3,,,w,,,t,f,,d,a
p,1.58,x,g,y,f,d,d,n,1.79,2.28,,s,n,,,f,f,,h,u
p,7.23,f,,r,f,x,c,y,6.65,11.31,,,w,,,f,f,,d,a
p,18.73,x,t,r,t,d,c,w,5.06,24.02,,,r,,,f,f,,l,a
p,7.17,x,s,r,t,s,d,w,6.99,16.1,r,i,n,,,f,f,,d,u
e,6.09,f,s,n,f,x,c,w,6.32,9.49,,s,n,,,f,f,,l,w
p,5.92,s,d,o,f,d,c,o,3.34,6.35,,,y,,,f,f,,h,u
p,0.81,x,g,n,f,a,,p,4.4,1.02,,h,k,,,f,f,,d,a
p,6.08,x,e,e,f,a,,y,7.71,10.02,,,n,,w,t,z,,d,a
e,4.2,x,,n,f,x,c,n,8.22,8.95,b,,w,,w,t,,,d,s
p,12.32,f,,g,f,e,,w,11.31,14.92,,,w,u,w,t,e,,d,u
p,4.85,x,,y,f,s,d,y,4.99,11.65,,i,y,,,f,f,,d,a
p,3.22,o,,g,f,f,f,f,3.47,13.97,,g,n,,,f,f,,d,u
p,0.71,x,,o,f,d,,o,4.38,1.09,,,y,,,f,f,w,g,a
p,4.28,o,,w,f,f,f,f,5.38,30.45,,g,w,,,t,f,,p,a
p,3.31,f,d,p,f,a,,y,5.59,5.94,,t,r,,,f,f,,m,a
p,5.18,c,e,y,t,x,c,y,6.53,11.77,,,w,,,f,f,,g,u
p,5.29,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
e,9.66,f,s,w,f,s,c,w,6.47,33.51,,,w,,,f,f,,d,s
e,10.1,p,y,w,f,e,c,p,22.88,12.77,,s,w,,,t,e,,g,u
p,3.54,x,t,n,f,a,c,n,4.59,6.47,,y,n,,,t,z,,d,w
p,4.28,b,h,n,f,,,k,8.34,6.18,,,w,,,t,,k,g,w
p,6.03,x,h,e,f,x,d,w,5.22,17.29,b,,w,,,f,f,,d,a
p,8.34,s,t,p,t,d,c,p,7.69,14.14,,,p,,,t,f,,d,u
p,3.34,s,w,u,f,a,c,u,6.35,7.35,,s,u,,,f,f,,l,a
p,13.54,f,k,w,t,d,d,n,5.42,27.02,,,w,,,f,f,,d,w
p,8.37,f,h,r,f,,c,w,11.4,15.08,,,w,u,w,t,g,,d,a
p,1.49,x,k,n,f,,,n,3.17,1.49,,,n,,,f,f,,d,a
e,5.96,s,,n,f,d,c,w,5.28,7.91,,s,w,,,f,f,,d,a
p,8.56,s,t,n,t,d,,g,4.76,13.05,,t,g,,,f,f,,d,u
p,8.46,f,h,r,f,,c,w,10.54,13.25,,,w,u,w,t,p,,d,a
e,9.22,x,t,y,f,p,,y,6.79,14.76,,,y,,y,t,,,d,u
p,7.89,x,s,n,f,s,,g,5.56,7.0,,y,n,,,f,f,,d,w
e,6.42,s,l,w,f,d,,w,3.24,9.64,,,w,,,f,f,,d,u
e,14.33,f,,g,f,d,c,y,2.75,15.8,,,w,,,f,f,,d,a
p,19.1,x,k,w,t,d,d,w,8.05,31.89,,,w,,,f,f,,d,a
e,9.44,s,t,p,t,d,c,o,5.61,17.3,,,w,,,f,f,,d,u
e,21.68,p,d,n,f,p,,n,16.22,36.28,s,y,w,,,f,f,,d,u
e,11.55,f,y,w,f,e,c,p,17.1,12.04,,s,w,,,t,e,,d,a
p,9.78,x,i,n,f,a,,n,9.28,15.29,s,,n,,n,f,f,,h,a
p,8.48,x,,u,t,x,,n,8.88,19.02,s,,n,,u,f,f,,d,a
p,3.29,x,i,e,f,,,e,4.6,5.58,,,e,,,f,f,n,d,a
e,3.61,f,t,n,f,d,,o,5.05,5.05,,t,w,,,f,f,,d,a
e,1.57,c,g,n,f,a,,g,5.56,1.5,,,g,,,f,f,,l,a
e,5.35,x,h,g,f,a,d,n,5.65,4.6,,t,g,,,t,l,,d,a
e,10.58,f,e,b,f,,c,b,5.21,22.38,,,w,,,t,f,,d,a
p,8.23,p,y,n,f,,,p,15.55,19.15,,,w,,,f,f,,d,a
p,8.62,x,i,y,f,a,,o,12.59,23.72,r,,y,,,t,r,n,d,w
e,6.15,f,d,b,f,d,d,o,5.45,11.78,,,w,,,f,f,,m,w
p,6.75,f,,n,f,d,c,y,5.16,10.35,b,,n,,,f,f,,d,w
p,1.21,b,t,y,f,,c,k,4.04,2.55,,,n,,,t,f,,m,a
e,10.83,x,h,n,t,p,,y,7.84,22.66,,,n,,,f,f,,d,u
p,8.16,f,t,e,f,x,d,w,6.26,18.97,b,,w,,,f,f,,d,u
p,7.65,x,,u,t,x,,n,8.91,19.73,s,,u,,u,f,f,,d,a
e,4.48,x,t,n,f,d,,o,6.44,8.41,,t,o,,,f,f,,d,a
e,16.13,f,e,n,f,a,c,w,9.0,25.79,s,,w,,,f,f,,l,w
e,6.26,x,s,b,f,x,c,w,7.51,9.35,,s,n,,,f,f,,l,a
p,1.51,x,,n,f,,,k,4.87,2.58,,s,n,,,f,f,k,g,a
p,4.93,f,k,y,f,p,,n,3.04,4.38,,k,n,,,t,f,,d,u
p,8.32,x,h,e,f,x,d,w,6.31,17.58,b,,w,,,f,f,,d,u
e,6.01,p,y,w,f,e,c,p,5.64,12.67,,,w,,w,t,e,,m,u
p,2.01,b,,g,f,a,,g,5.18,2.04,,s,g,,,f,f,,d,u
e,5.27,x,d,y,t,p,,y,5.56,11.75,,,y,,,f,f,,d,a
e,1.28,x,w,n,f,,d,g,4.2,2.32,,,w,,,f,f,,d,w
e,13.96,x,e,n,t,e,,w,9.11,17.69,,,w,,,t,,,d,u
p,4.57,o,k,r,f,,c,y,1.41,13.49,,,n,,,f,f,,d,w
e,4.91,x,,n,f,x,c,n,8.54,10.35,b,,n,,w,t,,,g,s
e,5.96,x,d,n,t,p,,y,6.25,12.29,,,y,,,f,f,,d,u
e,6.07,x,h,g,f,a,d,n,4.88,3.98,,t,w,,,t,l,,d,w
p,6.19,x,y,w,t,,,w,7.48,11.69,s,,w,,,t,l,,d,a
p,8.59,f,h,n,f,x,,w,15.6,8.25,r,g,n,,,f,f,,d,a
p,1.7,b,g,y,f,,c,n,5.78,2.84,,,n,,,f,f,,g,s
e,7.21,f,w,y,f,f,f,f,4.19,15.41,,,y,,,f,f,,d,u
p,11.3,f,,w,f,x,c,w,11.58,13.71,r,i,w,,,f,f,,d,u
e,3.01,x,h,e,f,a,c,e,4.61,6.2,,,e,,,f,f,,g,u
p,0.86,x,g,o,f,,,y,3.35,0.69,,,w,,,f,f,,d,u
p,4.5,b,y,e,f,e,c,w,5.14,3.79,,k,w,,,t,e,,m,u
p,2.71,b,,n,f,a,,n,9.84,2.64,,,n,,w,f,f,k,g,u
p,3.61,o,,w,f,f,f,f,5.17,28.0,,g,w,,,t,f,,p,a
p,17.34,x,d,e,f,p,,y,5.34,44.88,,,n,,,f,f,,d,a
p,2.25,f,t,n,f,,,n,6.94,2.97,,,y,,,f,f,,g,u
e,7.11,f,s,w,f,e,c,n,5.31,12.84,,,w,,w,t,e,,g,a
e,7.74,f,g,o,f,s,,y,8.47,12.56,,t,n,,,f,f,,d,a
e,6.29,x,,w,f,e,,w,5.9,12.07,b,,y,u,y,t,g,,d,a
e,9.01,x,y,y,f,,,w,5.88,23.18,b,,n,,w,t,e,,d,w
e,5.68,c,h,n,f,e,,w,10.87,11.25,,s,n,u,w,f,f,,d,u
e,5.35,p,s,w,f,e,c,p,4.58,12.68,,,w,,w,t,e,,m,a
e,5.09,x,h,n,f,x,c,n,4.61,5.84,,s,n,,,t,r,,d,a
e,4.58,f,t,n,f,d,,o,6.58,9.09,,t,o,,,f,f,,d,a
e,4.71,x,,n,f,x,c,n,8.09,9.72,b,,w,,w,t,,,g,a
p,9.54,s,t,r,t,d,c,n,5.3,12.88,,,n,,,f,f,,d,a
e,0.73,f,g,e,t,a,,w,5.42,0.93,,,n,,,f,f,,d,u
e,10.72,p,y,w,f,e,c,w,18.82,12.29,,s,w,,,t,e,,u,a
p,7.91,x,y,w,t,,,n,8.53,13.84,s,,w,,,t,l,,g,a
e,5.95,x,w,y,f,f,f,f,5.88,15.12,,,y,,,f,f,,d,a
e,15.09,f,t,w,f,a,d,y,6.43,23.17,,,w,,,f,f,w,d,u
e,4.33,f,y,g,f,s,,y,4.0,6.66,,,w,,,f,f,,d,a
p,2.87,x,t,n,f,s,c,n,5.2,7.88,,,w,,n,t,z,,d,a
e,4.96,o,,n,f,f,f,f,6.34,21.6,,,n,,,f,f,,d,s
p,6.97,s,d,n,t,d,c,w,5.98,9.32,,,n,,,f,f,,d,a
e,8.65,f,,p,f,x,c,w,8.5,22.14,,s,w,,,f,f,,d,u
p,7.81,f,w,p,f,s,c,p,4.45,10.32,,,p,,,f,f,,d,a
p,8.38,x,y,w,t,,,p,8.47,16.13,s,,w,,,t,l,,g,a
e,5.4,x,l,w,f,d,,w,3.8,9.96,,,w,,,f,f,,d,u
e,8.22,f,s,n,f,s,c,w,6.69,10.56,b,i,w,,,f,f,,l,u
p,4.47,f,l,n,f,x,d,y,5.12,4.89,,,y,,,f,f,,l,u
p,4.72,o,s,n,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,u
p,6.15,p,g,n,f,e,,w,7.16,13.02,,y,w,u,w,t,p,,d,a
p,6.08,s,d,e,t,d,c,n,6.32,8.81,,,n,,,f,f,,d,a
e,4.82,f,,n,f,x,c,u,6.59,4.01,,,w,,,f,f,,d,u
p,2.16,b,g,y,f,,c,n,4.64,2.41,,,n,,,f,f,,m,s
e,9.04,f,,g,f,s,c,g,7.0,21.65,b,,u,,,f,f,,g,w
p,7.63,b,t,w,f,e,c,w,14.04,13.76,,y,w,u,w,t,e,,d,a
p,7.05,f,t,n,f,x,c,y,5.21,13.3,,,y,,,f,f,,d,a
e,11.81,x,h,n,t,p,,y,9.23,23.1,,,n,,,f,f,,d,u
p,1.02,b,t,n,f,,c,g,3.2,2.45,,,n,,,t,f,,m,a
p,5.01,c,k,y,t,x,c,r,6.8,12.09,,,w,,,f,f,,d,u
e,8.82,f,s,u,f,a,c,w,4.86,16.4,,,w,,,f,f,,d,u
e,7.93,f,,n,t,,,w,10.85,13.66,b,,w,u,w,t,g,,d,u
e,7.55,x,s,n,f,e,c,w,6.37,9.99,,i,n,,,f,f,p,d,w
p,6.48,s,d,n,t,d,c,n,8.32,11.13,,,n,,,f,f,,d,a
p,18.68,s,k,n,f,d,c,y,5.92,37.25,,k,k,,,f,f,,d,a
p,6.59,s,,y,t,d,,o,5.04,12.26,,,w,,,t,f,,d,u
e,8.61,x,h,n,f,p,d,y,6.78,12.9,,s,n,,,f,f,,d,u
e,10.5,f,s,r,f,x,,n,4.67,20.27,,,w,,,f,f,,d,a
e,5.35,x,,w,f,d,,r,5.92,7.15,,,w,,,f,f,,d,a
p,8.78,x,y,y,f,a,c,n,11.22,10.9,,y,n,,,t,,,d,a
p,3.42,b,,g,f,a,,n,8.61,2.6,,,g,,w,f,f,k,g,u
e,4.03,f,d,g,t,d,c,p,4.82,7.06,,,g,,,f,f,,d,u
p,4.13,f,k,w,f,s,,p,4.38,3.29,,,n,,,f,f,p,g,a
p,6.24,o,t,y,f,,c,o,1.45,14.98,,,n,,,f,f,,d,w
p,12.11,x,t,n,f,a,d,w,11.76,34.02,,,w,,,f,f,,d,a
p,11.16,o,,n,f,f,f,f,4.01,24.81,,g,n,,,f,f,,d,s
e,7.88,x,t,n,f,p,d,y,6.65,11.96,,s,n,,,f,f,,g,u
p,0.67,x,g,e,f,a,,n,3.57,0.97,,s,k,,,f,f,,d,a
p,0.69,x,g,p,f,a,,p,3.78,0.93,,h,k,,,f,f,,d,u
e,1.67,c,g,n,f,a,,w,4.8,1.44,,,g,,,f,f,,l,a
e,5.24,s,,n,f,d,c,w,4.57,7.41,,s,w,,,f,f,,l,a
p,10.78,x,i,o,f,a,,o,8.47,20.69,r,,y,,,t,r,n,d,u
p,3.41,b,w,y,f,a,,r,5.44,6.72,,t,r,,,f,f,,d,u
e,7.37,p,,g,f,a,,w,7.19,13.21,,,w,,,f,f,,d,a
e,8.15,p,y,w,f,e,c,k,5.66,12.73,,,w,,w,t,e,,g,a
e,4.74,x,h,o,f,a,d,y,7.77,5.88,,s,o,,,f,f,,d,a
p,13.19,x,h,w,f,s,,p,6.7,15.55,,i,n,,,f,f,,d,u
p,2.34,p,t,n,f,a,c,g,6.31,2.46,,t,y,,,t,e,,m,u
p,8.65,p,y,n,f,,,p,15.93,18.1,,,w,,,f,f,,d,a
e,21.57,x,d,o,f,p,,w,14.47,34.85,s,y,w,,,f,f,,d,u
e,12.06,f,,g,f,d,c,y,2.55,15.06,,,w,,,f,f,,d,a
p,0.79,b,t,n,f,,c,g,2.58,2.29,,,n,,,t,f,,m,a
e,1.53,c,g,n,f,a,,g,4.95,1.28,,,g,,,f,f,,l,a
e,4.71,x,,w,f,x,c,n,8.25,10.18,b,,w,,w,t,,,g,u
p,1.91,p,t,n,f,a,c,g,6.62,2.43,,t,y,,,t,e,,m,a
e,0.78,x,g,n,t,a,,p,5.0,0.98,,,n,,,f,f,,d,u
p,2.63,x,s,w,f,d,c,w,3.32,8.68,,,w,,,f,f,,g,a
e,8.52,f,s,o,f,s,,n,9.15,12.55,,t,o,,,f,f,,d,a
p,4.89,f,,b,f,x,,w,6.38,7.02,,,w,,,f,f,,d,u
p,5.39,c,k,w,t,x,c,r,5.34,11.68,,,w,,,f,f,,d,s
p,2.5,x,g,n,f,a,,w,5.75,2.27,,,w,,,f,f,,d,a
p,5.22,x,e,e,f,a,,y,7.85,9.34,,,e,,w,t,z,,d,a
e,9.32,f,,p,f,x,c,w,6.95,19.0,,s,w,,,f,f,,d,a
e,11.08,x,s,y,f,d,d,w,8.16,13.08,,i,n,,,t,,w,d,a
p,1.64,b,h,n,f,a,,n,4.76,1.46,,t,n,,,f,f,,h,s
p,6.49,c,k,w,t,x,c,p,6.65,12.34,,,w,,,f,f,,d,u
p,7.41,x,d,e,t,d,c,w,9.27,11.14,,,e,,,f,f,,d,a
e,0.88,p,g,w,f,,,g,3.14,1.33,,,w,,,f,f,,d,a
p,7.02,o,k,n,f,,c,o,1.47,15.38,,,y,,,f,f,,d,a
p,1.03,x,g,w,f,a,d,w,3.2,1.53,,,e,,,f,f,,l,u
p,1.63,b,h,n,f,a,,n,4.45,1.4,,t,n,,,f,f,,h,u
e,3.41,x,h,n,f,,c,k,6.24,6.13,,s,w,,w,f,f,k,d,a
p,5.97,f,,y,f,s,d,y,5.26,15.25,,i,y,,,f,f,,d,a
p,3.2,f,w,o,t,d,c,y,3.54,6.23,,,n,,,f,f,,d,a
p,5.91,x,y,w,t,,,w,8.09,12.62,s,,w,,,t,l,,g,u
e,1.61,c,g,n,f,a,,g,5.43,1.53,,,g,,,f,f,,d,a
e,10.43,x,e,y,f,x,c,w,7.78,21.53,,,w,,,f,f,,d,u
e,9.55,x,s,n,t,p,,n,7.94,17.99,,,n,,w,t,p,,d,a
e,18.54,x,e,n,f,d,c,w,9.71,26.6,s,,w,,,f,f,,l,w
p,7.43,x,e,e,f,a,,g,8.67,10.73,,,y,,w,t,z,,d,a
p,3.55,x,y,y,f,a,,w,6.16,3.83,,y,n,,,t,r,,g,u
e,6.05,x,i,n,f,e,c,p,4.9,13.19,,,w,,,t,r,,w,a
p,17.49,x,k,w,t,d,d,n,7.05,32.3,,,w,,,f,f,,d,u
e,4.45,f,,n,f,x,c,n,7.18,4.09,,,w,,,f,f,,d,u
e,1.7,x,t,y,f,d,,w,6.21,2.5,,t,y,,,f,f,,g,a
p,10.52,x,i,o,f,a,,o,12.07,20.8,r,,y,,,t,r,n,d,a
p,4.13,o,s,r,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,u
p,6.07,s,t,n,t,d,,g,4.34,12.53,,t,g,,,f,f,,d,a
e,1.56,f,w,n,f,,d,g,5.09,2.56,,,w,,,f,f,,g,w
p,1.62,b,h,n,f,a,,n,4.24,1.5,,t,n,,,f,f,,h,s
p,2.54,b,,g,f,a,,n,7.46,2.37,,,n,,w,f,f,k,g,a
e,11.16,x,h,n,t,p,,y,8.23,22.36,,,n,,,f,f,,d,a
p,13.46,f,,g,f,e,,w,10.91,17.07,,,w,u,w,t,e,,d,a
p,3.62,o,,w,f,f,f,f,5.32,28.15,,g,w,,,t,f,,d,u
p,2.11,x,i,e,f,,,e,3.52,5.07,,,e,,,f,f,n,d,a
e,3.99,b,g,n,f,a,d,g,5.19,3.33,,s,g,,,f,f,,d,s
e,9.16,f,,e,f,x,c,w,7.54,18.61,,s,w,,,f,f,,d,a
e,13.58,f,y,w,f,,,w,20.46,18.92,s,,n,,,t,m,,m,u
p,5.96,s,d,o,f,d,c,y,4.49,7.13,,,o,,,f,f,,d,u
e,8.67,s,t,w,t,d,c,o,5.87,17.22,,,w,,,f,f,,d,u
p,0.74,x,g,n,f,a,,p,4.13,0.94,,h,k,,,f,f,,d,u
p,7.03,x,,g,t,x,,n,8.94,18.44,s,,u,,u,f,f,,d,a
p,5.11,x,k,n,f,a,c,y,4.64,5.6,,i,n,,,t,,,d,a
p,3.87,b,t,n,f,x,c,p,5.67,3.87,,i,g,,,f,f,,m,a
p,7.63,f,y,e,f,s,c,y,7.62,20.46,,y,e,,,f,f,,d,a
p,8.05,b,y,w,f,,,k,13.93,17.67,,,w,,,f,f,,d,a
p,7.03,f,,n,f,d,c,w,6.96,12.05,b,,n,,,f,f,,l,w
p,9.22,o,,n,f,f,f,f,3.86,23.97,,g,n,,,f,f,,d,u
p,6.99,p,,n,f,p,,w,10.8,30.24,c,,n,,,f,f,p,d,a
p,4.4,x,,e,f,,c,g,3.22,12.29,,,y,,,f,f,,d,a
e,7.13,f,s,k,f,a,c,w,4.19,14.81,,,w,,,f,f,,d,u
p,3.28,x,s,y,f,,c,r,7.7,7.1,,,y,u,w,t,z,r,d,a
e,2.84,b,y,n,f,,c,k,6.03,2.64,,,w,,,f,f,,d,w
e,8.43,x,h,n,f,p,d,y,7.59,12.71,,s,n,,,f,f,,h,a
p,5.1,f,d,e,t,d,c,y,5.12,7.41,,,n,,,f,f,,d,a
p,5.76,f,k,y,f,p,,n,4.05,6.68,,k,n,,,t,f,,d,u
e,10.77,x,h,y,f,p,,y,8.73,15.07,,,y,,y,t,,,d,a
p,4.07,x,t,n,f,a,c,n,4.63,6.48,,y,n,,,t,z,,d,a
e,6.57,x,s,b,f,x,c,w,7.39,10.56,,s,n,,,f,f,,l,w
p,6.08,s,k,y,f,p,,n,3.69,6.46,,k,n,,,t,f,,d,u
p,2.83,x,g,e,f,a,,p,7.86,2.59,,,n,,,f,f,,d,u
e,8.62,s,,n,f,s,c,g,6.52,19.1,b,,u,,,f,f,,g,w
e,10.1,x,s,n,t,e,,g,8.51,17.13,s,,w,,,t,r,,m,u
e,10.34,p,y,w,f,e,c,p,16.75,11.79,,s,w,,,t,e,,u,a
p,9.07,p,y,n,f,,,p,13.69,17.28,,,w,,,f,f,,d,a
e,8.41,x,,w,f,e,,w,5.93,12.15,b,,w,u,w,t,g,,d,a
e,6.17,s,,n,f,d,c,w,4.73,8.16,,s,w,,,f,f,,h,u
e,9.13,f,t,o,f,s,,y,8.91,12.25,,i,n,,,f,f,,d,a
e,45.25,o,y,y,f,p,,y,7.07,31.2,,k,k,,,f,f,,d,u
p,10.36,x,,n,f,p,,p,10.24,28.71,c,,n,,,f,f,w,d,a
p,6.77,x,s,r,t,s,d,r,4.75,14.82,r,y,n,,,f,f,,d,a
p,1.0,b,t,y,f,,c,k,3.8,2.65,,,n,,,t,f,,m,a
p,2.16,b,g,y,f,,c,n,6.38,3.6,,,n,,,f,f,,d,u
e,9.75,x,s,y,f,d,d,w,9.36,15.13,,i,n,,,t,,w,d,w
e,7.85,f,h,n,f,s,,y,9.05,13.77,,t,o,,,f,f,,d,a
p,4.04,f,t,n,f,x,c,p,6.03,4.3,,i,n,,,f,f,,g,u
p,0.59,f,,o,f,d,,o,4.53,0.95,,,o,,,f,f,w,g,a
p,5.49,x,,w,f,,c,w,3.5,12.06,,,y,,,f,f,,d,a
p,2.18,b,,g,f,a,,g,4.74,1.92,,s,g,,,f,f,,d,a
p,2.08,p,t,n,f,a,c,g,8.77,2.53,,t,y,,,t,e,,m,s
e,3.53,f,d,p,t,d,c,p,5.21,6.5,,,n,,,f,f,,d,u
p,7.08,x,i,y,f,a,c,n,7.16,7.43,,i,n,,k,t,z,k,g,u
p,3.27,x,i,e,f,,,e,3.73,5.17,,,e,,,f,f,n,d,a
e,11.38,x,e,y,f,x,c,w,7.06,21.88,,,w,,,f,f,,d,u
p,9.29,x,i,n,f,a,,n,9.96,15.27,s,,n,,n,f,f,,d,a
p,11.92,x,,n,f,e,,w,10.62,13.53,,,w,u,w,t,e,,d,a
e,4.63,x,y,g,f,s,,g,3.68,7.3,,,w,,,f,f,,d,a
p,7.41,x,h,e,f,x,d,w,5.36,17.34,b,,w,,,f,f,,d,u
p,2.25,b,g,n,f,,c,n,5.77,3.24,,,n,,,f,f,,g,u
p,4.52,c,i,y,f,,c,n,5.9,7.09,,,w,,,f,f,,d,u
p,4.55,x,h,n,f,a,c,n,4.81,6.38,,y,o,,,t,z,,d,w
p,3.76,f,,u,f,a,,w,4.26,8.38,,,y,,,f,f,,d,u
p,7.97,f,,r,f,x,c,y,6.64,12.79,,,w,,,f,f,,d,u
p,16.36,x,k,n,t,p,,y,9.91,36.08,c,,y,,,f,f,,d,u
p,12.85,x,g,o,f,e,,w,17.35,16.64,s,y,w,u,w,t,g,,d,u
p,8.6,f,y,y,f,s,c,y,7.92,17.55,,y,e,,,f,f,,d,a
p,7.66,f,h,r,f,,c,w,11.13,15.44,,,w,u,w,t,p,,d,a
p,5.03,f,w,e,f,x,,w,9.81,5.49,r,g,n,,,f,f,,d,a
e,8.9,x,h,y,f,p,,y,7.9,15.16,,,y,,y,t,,,d,u
e,6.45,x,,g,t,p,,g,8.29,22.91,,y,w,,,f,f,,d,a
p,6.44,f,w,p,f,s,c,p,3.44,8.97,,,p,,,f,f,,d,w
p,7.49,s,,r,t,d,,o,4.66,12.57,,,w,,,t,f,,d,u
e,7.31,x,y,n,f,e,c,w,5.46,9.58,,y,n,,,f,f,,d,u
p,6.99,b,y,w,f,,,k,12.91,18.17,,,w,,,f,f,,d,a
p,2.89,s,d,y,f,d,c,y,1.92,5.56,,,o,,,f,f,,d,a
p,7.84,f,w,p,f,s,c,p,4.78,10.09,,,p,,,f,f,,d,a
e,4.37,s,l,n,f,f,f,f,6.95,42.09,,,n,,,f,f,g,d,u
p,3.13,f,d,n,f,x,c,w,4.27,2.92,b,i,n,,,f,f,,d,a
e,50.79,o,y,y,f,p,,y,6.24,27.18,,k,n,,,f,f,,d,u
p,6.04,f,w,e,f,x,,w,12.76,8.0,r,g,n,,,f,f,,d,u
p,2.69,x,y,o,f,d,,y,3.09,5.22,,,o,,,f,f,,h,a
e,1.83,c,g,n,f,a,,w,5.3,1.81,,,g,,,f,f,,l,u
e,3.02,x,d,e,f,a,c,o,4.32,5.94,,,e,,,f,f,,m,a
p,6.58,b,y,n,f,,,g,10.66,13.08,,s,w,,,t,z,,g,s
e,6.56,f,y,n,f,e,c,p,5.0,13.2,,,w,,,t,r,,w,u
p,3.78,x,i,e,f,,,e,4.36,5.6,,,e,,,f,f,n,d,a
p,8.05,x,h,r,f,,c,w,10.85,14.45,,,w,u,w,t,p,,d,u
p,0.87,x,g,n,f,a,,n,4.5,1.13,,s,k,,,f,f,,d,a
p,7.28,x,e,e,f,a,,n,8.33,9.11,,,e,,w,t,z,,d,a
p,3.03,f,d,b,f,x,c,w,5.2,3.69,b,s,n,,,f,f,,d,u
e,3.01,f,d,u,t,d,c,p,3.9,5.27,,,g,,,f,f,,d,a
p,8.15,x,i,n,f,a,,n,9.39,12.73,s,,n,,e,f,f,,d,a
e,4.36,x,d,p,f,a,c,e,3.92,6.32,,,e,,,f,f,,g,w
e,10.0,f,,n,f,s,c,u,7.21,21.86,,,b,,,f,f,,d,w
p,0.65,x,g,o,f,,,y,3.6,0.81,,,y,,,f,f,,d,a
e,5.05,f,y,n,f,s,,w,4.29,7.5,,,w,,,f,f,,d,a
p,9.86,o,,n,f,f,f,f,3.75,25.39,,g,n,,,f,f,,d,s
p,1.42,b,h,n,f,a,,n,4.61,1.37,,t,n,,,f,f,,h,s
p,5.61,x,,y,f,s,d,y,5.66,14.97,,i,y,,,f,f,,d,a
p,3.32,f,s,w,f,d,c,w,3.14,7.17,,,w,,,f,f,,g,u
p,5.3,f,k,n,f,d,c,n,5.29,6.4,,i,y,,,t,,,d,a
e,2.26,f,h,o,f,a,d,w,4.56,3.72,,s,o,,,f,f,,d,a
e,4.0,x,,y,f,a,c,o,4.2,7.88,,,w,,,f,f,,d,u
p,6.11,b,i,k,f,e,,k,7.02,9.02,,,y,,,f,f,,m,a
